text,label,standard
müslüman olaç diye çok şeyler çehmişler harp savaşı,Ağız,Müslüman olalım diye harp savaşlarında çok şeyler çekmişler.
eskiden kartol derdik şimdi patates derler,Ağız,"Eskiden patatese ‘kartol’ derdik, şimdi patates diyorlar."
"yuhayı yağlı suya batırır, pilavların üstüne dökerdik, gördük, çok gitlik çehmedük",Ağız,"Yağlı suya yufkayı batırır, pilavların üstüne dökerdik; çok gitlik çekmezdik."
"biz o günlere biz şey değilük, o günler değrum, o askerler çoğ açlıh çehmişler, çoğ telefliğ çehmişler",Ağız,"Biz o günleri yaşamadık; o günlerde askerler çok açlık çekmiş, çok kayıp vermişler."
"cenazede ne yapacuk, cenaze gelir, millet gelir, gonsularımız hep yakın",Ağız,"Cenazede ne yapılacaksa yapılır, millet gelir, komşularımız hep yakın olur."
"köylerde arabaçalarımız köylerde yine gonsularımız hep çağırır, gelen gelir",Ağız,"Köylerde arabacılar gelir, yine komşularımız çağırır, gelen gelir."
"gırh günden sonra yimeh yapmazdular, gırh günden sonra bi hevla yaparduh",Ağız,"Kırk günden sonra yemek yapmazlardı, kırk günden sonra bir helva yaparlardı."
"gırh günden sonra da gırh yimeğe verirdiler, guran olurhudu",Ağız,"Kırk günden sonra kırk yemeği verirlerdi, kuran okunurdu."
"seyh babada var bi de şu dağın şurda var, ondan sonra evliyen çavah",Ağız,"Şeyh Baba’da bir türbe var, şu dağın orada, ondan sonra evliya mezarı."
"nerden bilüm yavrum, eyi kimseler yanı, eyi kimseler yanı olduğu yerde",Ağız,"Nereden bileyim yavrum, iyi kimseler yani, iyi insanların olduğu yerde."
onun öldüğü yerde fakat onlar ölmezmiş de,Ağız,Onun öldüğü yerde onlar ölmezmiş de.
"şeyden ne derdiler bu kelkitin, orda ziyarette zaten var, oradan beriye geçememişler",Ağız,"Kelkit’te bir ziyaret yeri varmış, oradan ileriye geçememişler."
"oranın adına ne diyler, adını unuttum, biliyordum da aklımda değil",Ağız,"Oranın adını ne derlerdi, hatırlıyorum ama aklıma gelmiyor."
"adını unuttum neydi oraya diyler, ne bir şey şey diylerdi oradan",Ağız,"Adını unuttum, oraya başka bir şey diyorlardı."
"bizim şeye geçememişler, o ziyaretten öbür tarafa geçememişler",Ağız,"Bizim tarafa geçememişler, o ziyaretten öteye geçememişler."
"hozman’a bizim köye de gelmiş haydurluğa, gelmişler haşa senden bu Ermeniler",Ağız,"Hozman’a, bizim köye de gelmişler yağmaya; haşa, bu Ermeniler."
gavurlar eskiden birlikte şeyler vardı onlardan geçti,Ağız,"Gavurlardan, eskiden birlikte yapılan şeyler vardı, onlardan geçti."
"onnarın içine söylemesi ayıptır, öyle gavurlar şey ettiler",Ağız,"Onların içine söylemesi ayıptır, öyle şeyler yaptılar."
hâ bu teybe mi konuşuyorsun beni söyledin de sonra gidip başkasına mı dinledin,Ağız,"Bu teybe mi konuşuyorsun, bana söyledin de sonra gidip başkasına mı anlattın?"
"aşgâre de işte şey ederdüh, şindhde öyle şey etmiyiler",Ağız,"Açıkça söylüyorlardı, şimdi öyle söylemiyorlar."
"davullu zurnal. eşgiden getirirdüh, azığ yaparduh, arhalarında şekeller, askere giderdiler",Ağız,"Davul-zurna ile getirirlerdi, yiyecek hazırlar, arkalarında şekerler, askere giderlerdi."
"teey gâs gün yol yeriyimsiler, araba yok bi şey yok, arhalarında",Ağız,"Günlerce yollarda yürürlerdi, araba yok, bir şey yok."
"şehlerlere azuhları bişürürdük, böyle beskimetidır",Ağız,"Şehirlere azıkları pişirir, böyle beslenirlerdi."
"beskimetidır bişürürdük, gurudurduh doldururdüh, arhalarında şehlerlere gidiyidiler",Ağız,"Azıklarını pişirir, torbalara doldurur, arkalarında şehirlere giderlerdi."
"bayram a da işte yapuryuh. yemeh yapuryuh, datlu yapuryuh, datlu işte bildiyin",Ağız,"Bayramda da yemek, tatlı yapıyoruz; bildiğin tatlı işte."
"esgiden sini deyirik şindik datlu deyirik böreh yaparup, datlu yaparup şunu bunu",Ağız,"Eskiden ‘sini’ derdik, şimdi tatlı diyoruz; börek yapar, tatlı yaparız."
"işte bişüririk şey alrukh, şekellere mekermelere alurub",Ağız,"Bir şeyler pişirip şekerlemeler, meyveler alırız."
onnarı veruh gelen çocuklara gelen misafirlere tutaruk,Ağız,"Onları gelen çocuklara, gelen misafirlere ikram ederiz."
"benim içi oğlan altı gız var, iki gızların, ikisi o dünyada altısı bu dünyada",Ağız,"Benim altı oğlum var, ikisi ölmüş, dördü yaşıyor."
sekiz gizldi olmadı. olan dört göz peşine olanlarlar oldu,Ağız,"Sekiz kızdı, olmadı. Dört kızın peşine oğlanlar da eklendi."
"gadriye yılmaz şeşen yaşındayım, ine kövlüyüm cengerişde gocadayım",Ağız,"Kadırye Yılmaz, 80 yaşındayım; köylüyüm, Cengeriş’te oturuyorum."
bizim kövün adı cengerişli alacahan oldu deşti,Ağız,"Bizim köyün adı Cengerişli’ydi, Alacahan olarak değişti."
"eyi sağlığım da benim galp var, yetersizlik dizlerimde kireçlenme diyler",Ağız,"Sağlığım iyidir, ama kalp rahatsızlığım var; dizlerimde de kireçlenme olduğunu söylüyorlar."
gıd argeleme sonadan oldu. işte o var gıuhlarım işitmey âmün âmün,Ağız,"Kireçlenme sonradan oldu; işte bir de kulaklarım işitmez, amin amin."
"oldu elli sene ben evleneli, ben gaçma gaçtım ben nişanlıydım",Ağız,"Evliliğimin üzerinden elli yıl geçti; ben kaçtım, nişanlıydım."
"bağışasına vermeğ isterdiler gaçtım nişanlıma, şindık evlenme adetleri gaçma",Ağız,"Beni başkasına vermek istediler, ben de nişanlıma kaçtım; şimdi ise evlenme adetleri değişti."
"gittim ben düyün ettiler, düyün davul zurna geleydi millet biriyn oynay ordan",Ağız,"Ben gittim, düğün ettiler; düğünde davul zurna gelir, millet biriyle oynar oradan…"
"sonra başgaları gelin edenler, atına götürüyür. üç at gider ikisi yenge biner",Ağız,"Sonra gelin almaya gelenler, ata götürürlerdi; üç at gider, ikisine yenge binerdi."
birine gelin biner davul zurna çalar millet oynaya oynaya eve gederler,Ağız,"Birine gelin biner, davul zurna çalar, millet oynaya oynaya eve giderdi."
"gız istemeye üç gisi gider, allıg emrinen gızı isterler",Ağız,"Kız istemeye üç kişi gider, Allah’ın emriyle kızı isterler."
"gızın ağzını aralar babasıgil, isterse gız verürler, istemezse vermezler işte öle",Ağız,"Kızın ağzını ararlar, babası uygun görürse verirler, istemezse vermezler; işte böyle."
"gına gecesi millet birikir oynar, gına yanar, bozguna çalar işte öle",Ağız,"Kına gecesinde millet toplanır oynar, kına yakılır, ardından da bozgun havası çalınır; işte öyle."
"düyünler yemehli oluy, yemeksiz keşgah yaparlar, yahni yapaylar, sütlaç yapaylar",Ağız,"Düğünler yemekli olurdu; yemeksiz keşkek, yahni, sütlaç yaparlardı."
"şini yapaylar, su böreği yaparlar her yemeh vardır",Ağız,"Börek yaparlardı, her türlü yemek olurdu."
"gaynanam gaynatam çoğ eydiydi, Allah rahmet eylesin ben çoğ çalıştım ama eydiydiler",Ağız,"Kaynanam ve kaynatam çok iyiydi, Allah rahmet eylesin; ben çok çalıştım ama iyiydiler."
"ne eşi ne eşi meğinden arabalır vardı, öküz arabası göşar deyey aha dağ varya orayu ordan gederdüh",Ağız,"Ne at arabası ne de başka araba vardı; öküz arabasıyla, dağdan odun kesmeye giderdik."
"iş günü üç gecede gelirdih, odun keseryük",Ağız,"Üç gün üç gece sonra geri gelirdik, odun keserdik."
toplayuruk yükleyürük arabaya gelürük,Ağız,"Odunları toplar, arabaya yükler, geri gelirdik."
"var arazımız var, buğday, arpa, nohut ne ehsen oluy, fiğ oradan",Ağız,"Arazimiz var; buğday, arpa, nohut, fiğ… ne ekilirse olur."
"bezelye ne ehsen oluy arazide, fasulye fasulyenin en eyisi burdan çıkar",Ağız,"Bezelye, fasulye… ne ekilirse olur; fasulyenin en iyisi buradan çıkar."
"buranın fasulyesini hiç bir yer tutmaz, tazesi de gurusunu da gurusunu bişür dadında doyamazsın",Ağız,Buranın fasulyesini hiçbir yer tutmaz; tazesinin de kurusunun da tadına doyulmaz.
"keşgeğimi yarma haşlarım, sizar o kevgirden ondan sonra gavurma, soğan, gara biber döşerim, onu kazanlara dulğur",Ağız,"Keşkeği yarma haşlarım, kevgirden süzerim; sonra üzerine kavurma, soğan, kara biber döşerim; kazanlara doldururum."
"kazanlarımız hemi çoğ büyüh, yüz gısiyi doyuracak kazanlar, onu doldurub bişürürük",Ağız,Kazanlarımız çok büyüktür; yüz kişiyi doyuracak kadar büyük kazanları doldurup pişiririz.
"gelinleri sırada taşlıher gider, evde sini bağlarlar, kim önce giderse bir alur geçer gider",Ağız,"Gelinler sırayla taşırlar; evde sini bağlarlar, kim önce giderse alır, geçer gider."
"sini bağlayar şeylere bağlayarlar, yan derlerdi öle",Ağız,"Siniyi bağlayıp eşyaları bağlarlardı, öyle derlerdi."
"düğün olan alur gider, delüganlılar yerler, tayuk götürürler, helva yaparlar, çöreh yaparlar",Ağız,"Düğün olan yerden alınır; delikanlılar yer, tavuk götürürler, helva yaparlar, çörek yaparlar."
"hepsinin fırınları vardır, fırınlarda yapıylar, çöreğin içine ne gatarsan ete gatıylar",Ağız,"Herkesin fırını vardır; fırınlarda yapılır, çöreğin içine ne koyarsan eklerler."
"gatıylar, gavurma da gatıylar, üzümde gatıyler, her bi şey gatıyler",Ağız,"Kavurma da katarlar, üzüm de katarlar, her şeyi katarlar."
"bi şey var mıydı şimdi bol, şimdi memleket bol şindik, esgiden orahnan ekinlerü",Ağız,"Eskiden ürün azdı, şimdi memlekette her şey bol."
"biçer ekekler toplanup şimdi getürülyer, biçiy gelin geliy, gelmeyenin başu kel oluy",Ağız,"Biçer ekinler toplanıp getirilir, biçim zamanı gelin gelir, gelmeyenin başı kel olur."
ekin olurdu benim boyum içine görünmezdim şimdi her şey bol,Ağız,"Eskiden ekin boyu benim boyumu geçerdi, görünmezdim; şimdi her şey bol."
"şey sölerdim tabı, hatırladığım uyu yavrum, uyup beşiği sallaram başuğa",Ağız,"Hatırladığım kadarıyla beşiği sallardım, yavrum uyusun diye."
"ninni başka bi şey dimezdüm, benim dört tene çoçuğum var, iki oğlan, iki gız",Ağız,"Ninni dışında bir şey söylemezdim; benim dört çocuğum vardı, iki oğlan, iki kız."
"ismilerim mi Mustafa, Engin, doğurduklarıma misafir gibi ismi verdim",Ağız,"Mustafa, Engin; doğurduklarıma misafir gibi isim verdim."
"medhe yılmaz biri de burda melahat, diğerini, isimleri mü aile de vardı",Ağız,"Biri Medhe Yılmaz, biri Melahat; diğer isimler ailede vardı."
böyühlerin ismini gorduh,Ağız,Büyüklerin ismini koydum.
"evliye burda evliye işte aha burda var, cengersin başunda var, limmişün",Ağız,"Evliya burada; işte hemen burada, Cenger’in başında var, Limmiş’in…"
"adını unuttum yar, bilmeyrim, onların isimlerini unuttum, bildiğim vardı",Ağız,"Adını unuttum; onların isimlerini unuttum, bildiğim de vardı."
"evliye var, ağa başı oradan sonra o yanda çok var, gümüşhanaya gavurlar gelmişde",Ağız,Evliya var; Ağa başı oradan sonra o yanda çok var. Gümüşhane’ye gavurlar gelmiş.
"o da ondan gelmişdi, ağa taşlar atmışlar, gavurlar gümüşhanadan dışarı atılmış, taşlar",Ağız,"O da ondan gelmişti; ağa taşlar atmış, gavurlar Gümüşhane’den kovulmuş."
"bayramda da yimeh yapar herkes, delüganlılar bin tanca gider, kim önce giderse",Ağız,"Bayramda herkes yemek yapar; delikanlılar bayramlaşmaya gider, kim önce giderse…"
"odalara yemelheri yerler, oynar gezer herkes, bayramlaşur, her yemeği yaparlar",Ağız,"Odalarda yemek yenir, herkes oynar, gezer, bayramlaşır; her çeşit yemek yapılır."
"yahnisını, köftesini, melse sütlaçsını, her bi şeyni yaparlar, yahnimi mi yahniyi de",Ağız,"Yahnisi, köftesi, hatta sütlacı yapılır; her şeyi yaparlar."
"fasulyesi haşlarlar, içine guş başı etinen soğan büber barabar gatlar yaparlar",Ağız,"Fasulye haşlarlar, içine kuşbaşı et ile soğan, biber katarak yemek yaparlar."
"çoçuğ doğduğunda böyühler gelür çoçuğu görer, herkes altun taşar para taşar böle geçer gider, yedisinde gırhında yimeh yapallar yerler",Ağız,"Çocuk doğduğunda büyükler gelir, çocuğu görür; herkes altın, para takar. Böyle geçer gider; yedisinde, kırkında yemek yaparlar, yerler."
"yoh yoh, onnaru bilemeyrim",Ağız,"Yok yok, onları bilemiyorum."
"orasu gavur dağı deyler, limmişin başı mumyanın başı şeyin başı",Ağız,"Oraya ‘Gavur Dağı’ derler; Limmiş’in başı, Mumya’nın başı, şu tepenin başı."
kıramışaTın başı don cengerisin başı tılemenin başı,Ağız,"Kıramışa’nın başı, Don Cengerisi’nin başı, Tılemen’in başı."
"bizim köyde gelmiş gavurlar, gavurlar çoğ etmiş, şindik şu dağlarda çoğ altun var bulup da alsan, çoğ var bulup alabilsen ras geliyesen alursun, gelmezsen yoh",Ağız,"Bizim köye gavurlar gelmiş, çok etmişler; şimdi şu dağlarda çok altın var. Bulup da alabilsen çok var; rast gelirsen alırsın, gelmezsen yok."
"cenaze galdururlar, gelir odalara işgat deyler, işgat mesele oruç tutaydı",Ağız,"Cenaze kaldırılır, odalara ‘işkat’ derler; işkat meselesi oruç tutmaktır."
"medil mi onun, işgatını verirler, hocalar kömüden sonra işgatını verirler",Ağız,"Mefhum mu onun, işkatını verirler; hocalar gömüldükten sonra işkatını verirler."
"odalarda yimeh yeyler, geçer gider, evlerden geliy, senden benden gelür, toğuk geliy çoğu geliy çok",Ağız,"Odalarda yemek yerler, geçer gider; evlerden gelir, senden benden gelir; tavuk gelir, çoğu gelir, çok gelir."
"esgiden uyuz olurdu millet, gaşına gaşına ölürdü, şindih o yok, verem derdiler yok, kanser çıktı şindih, şindih kanser çıktı, halah gösterme",Ağız,"Eskiden uyuz olurdu millet, kaşına kaşına ölürdü; şimdi o yok. Verem derlerdi, o da yok; şimdi kanser çıktı, Allah göstermesin."
"eltamara şeylesin derdiler, oranın suyu çok temah şeylesin, oranın şeylesi adamı beyile eder, o yüzden tüküryik millete orayı böle birikiyik, tamara şeylesi alalım",Ağız,"El Tamara derler; oranın suyu çok faydalıdır, insanı beyazlatır derler. O yüzden millet oraya gider, suyunu alır."
"memnunum, üç dört çoçuğum var, çoğlarından memnunum, Allah ömürlerini uzun etsin, Allah’ım göstermesin emicesini, Allah iman güren versin",Ağız,"Memnunum, üç dört çocuğum var; hepsinden memnunum. Allah ömürlerini uzun etsin, Allah kötü gün göstermesin, iman gücü versin."
"melekmek insanı eyüdür, suyu da eyüdür, havasıda eyüdür, buranın kişisi istanbula da oldum ben, istanbulun havası sankı yağ süriyesin, zonguldah gibi rütübetli ahrandan biraz buraya benzeyir",Ağız,"Melekmek insanı iyidir, suyu da iyidir, havası da iyidir. İstanbul’a da gittim; İstanbul’un havası sanki yağ sürülmüş gibi, Zonguldak gibi rutubetli; burası oraya biraz benziyor."
"alla senünde işini ras getürsün, ayağına daş deyümesin yavrum, heyirli işler yavrum",Ağız,"Allah senin de işini rast getirsin, ayağına taş değmesin yavrum. Hayırlı işler yavrum."
"Babam İstanbuldaydı, cankurtaran idi.",Ağız,"Babam İstanbul'daydı, cankurtaran olarak çalışıyordu."
Cankurtaran vazifesini yapar idi sonradan geldi.,Ağız,"Cankurtaranlık görevini yapardı, sonra geri geldi."
"Ardeşen’de doğdum, Ardeşen’de büyüdüm.",Ağız,"Ardeşen'de doğdum, Ardeşen'de büyüdüm."
"Okula gittim, üçüncü sınıfa kadar okudum.",Ağız,"Okula gittim, üçüncü sınıfa kadar okudum."
Üçünci sıniftan sonra bilmem okumaya almadılar sonra.,Ağız,"Üçüncü sınıftan sonra beni okumaya almadılar, bilmiyorum."
"Almadılar bilmeyrim, unuttum.",Ağız,"Almadılar; nedenini bilmiyorum, unuttum."
Sene sonu gösterurum dedi.,Ağız,Sene sonunda gösteririm dedi.
"O zaman sen de gitmedun, kizdun.",Ağız,"O zaman sen de gitmedin, kızdın."
Öğretmen dedi ki sene başında gösterurum sana.,Ağız,"Öğretmen, 'Sene başında sana gösteririm' dedi."
Sonra gitmedum bende.,Ağız,Sonra ben de gitmedim.
Bi sinemada mıydim nerdeydum bir yerde gördü beni de.,Ağız,"Bir sinemada mıydım, neredeydim; bir yerde beni gördü."
Tahta dizeyurdun tahta.,Ağız,"Tahtaya diziyordun, tahtaya."
"Aşağıki evdeydum, ordan baktı gördi beni.",Ağız,"Aşağıdaki evdeydim, oradan baktı ve beni gördü."
Ondan sonra ufak yaşımdan beri gayıkla uğraştım ben.,Ağız,Ondansonra küçük yaşımdan beri kayıkla uğraştım.
Ufak gayıklan pazara yolcu götürüyodum.,Ağız,Küçük kayıklarla pazara yolcu götürüyordum.
Gidiş geliş bir lira.,Ağız,Gidiş geliş bir liraydı.
Öyle para kazandım.,Ağız,Öylece para kazandım.
Aşağıda ev yapmaya başladum.,Ağız,Aşağıda ev yapmaya başladım.
Yok yok fazla ev yok.,Ağız,"Hayır, fazla ev yoktu."
Burda hiç ev olmadiğu zamanı biliyrum.,Ağız,Burada hiç ev olmadığı zamanı biliyorum.
Ha bu evler var ya bu evlerden hiçbir danesi yokdi.,Ağız,"Şu evler var ya, bunların hiçbiri yoktu."
Bi emicem ev yapdi ilk defa buraya daştan.,Ağız,Bir amcam ilk defa buraya taştan ev yaptı.
İkinciyi ben yapdum.,Ağız,İkinciyi ben yaptım.
"İki tane ev var idi, biri ha bu sırttaydı.",Ağız,İki tane ev vardı; biri şu sırt üzerindeydi.
Şeylerden Nuriye’nin evden bi de turunci ev var idi.,Ağız,"Nuriye'nin evi vardı, bir de turuncu ev vardı."
Başka hiç ev yokdu.,Ağız,Başka hiç ev yoktu.
Bizim mahalledeydi evler.,Ağız,Evler bizim mahalledeydi.
Futbol oynadum.,Ağız,Futbol oynadım.
Ardeşen’de kaleyi ilk defa biz diktuk.,Ağız,Ardeşen'de kaleyi ilk defa biz diktik.
İlk defa benimdir diken.,Ağız,İlk defa ben diktim.
Hem onda oynardum gol atardum.,Ağız,"Hem onda oynardım, gol atardım."
Takım var idi o zaman da.,Ağız,O zaman da takım vardı.
O zaman takımi biz bize okuldan çıkan çocuklar.,Ağız,Takım bizdendi; okuldan çıkan çocuklardık.
Kale direğini biz dikduk da hesab et.,Ağız,Kale direğini biz diktik; var sen hesap et.
Ayak çiplak bile oynayurdunuz.,Ağız,Ayaklar çıplakken bile oynuyordunuz.
Ayak çıplak oynayorduk da.,Ağız,Ayak çıplak oynuyorduk.
Ben hiç birisini tutmayrum onlarla uğraşmayrum yalan da değil.,Ağız,"Ben hiçbir takımı tutmuyorum, onlarla uğraşmıyorum; yalan da değil."
Ekseri Fenerbahçe’yi tutar idi.,Ağız,Çoğunlukla Fenerbahçe'yi tutardım.
"Kendi köyümde doğdum, buyudüm.",Ağız,"Kendi köyümde doğdum, büyüdüm."
On dört yaşinde de annem öldi.,Ağız,On dört yaşında annem öldü.
Deyzelerim çok kuvvetli idi annelik yaptiler.,Ağız,"Teyzelerim çok güçlüydü, annelik yaptılar."
İki dane de ablam vardi.,Ağız,İki tane de ablam vardı.
Asker olduk tabura geçtuk.,Ağız,"Asker olduk, tabura geçtik."
Askerlikte sorayurlar okur yazar misun.,Ağız,Askerlikte sorarlar: 'Okur yazar mısın?'
Her askerlikte sorayirler.,Ağız,Her yerde askerlikte sorarlar.
Bana sıra gelince okur yazarım dedim.,Ağız,Bana sıra gelince 'Okur yazarım' dedim.
Çık dışarı dedi.,Ağız,Dışarı çık dedi.
Bir bunu oku dedi.,Ağız,Şunu bir oku dedi.
Okudum ki seni bölük yazicısı yaptuk dedi.,Ağız,Okudum; 'Seni bölük yazıcısı yaptık' dedi.
Daha hiç askere başlamadan evvel.,Ağız,Daha askerliğe başlamadan önce.
Bölük yaziciluğuna verdiler beni hemen.,Ağız,Beni hemen bölük yazıcılığına verdiler.
Okur yazar yokdi hesab edin işte o zaman.,Ağız,O zaman okur yazar yoktu; varın siz hesap edin.
Askerlukte geminun makinesinin makine çavuşu idum.,Ağız,Askerlikte geminin makinesinin makine çavuşuydum.
Makine çavuşluğundan terhis olmaktayken bana bonservis verdiler.,Ağız,Makine çavuşluğundan terhis olurken bana bonservis verdiler.
Gemi makinalarını kullanma tamiratını muvaffakiyetle başarmış yazayurdu.,Ağız,Gemi makinelerini kullanma ve tamiratta başarı göstermiştir diye yazmışlardı.
Amir ve üstlerinden defalarca takdir ve sevgi kazanmiştur yazayurdu.,Ağız,Amir ve üstlerinden defalarca takdir ve sevgi kazanmıştır diye yazmışlardı.
Ben burda motor yapduğum zaman liman reisleri makinist servisi istemişti benden.,Ağız,Burada motor yaptığımda liman reisleri benden makinist hizmeti istemişti.
Makinist imtihanına gittum da o kağıdı götürmedum.,Ağız,Makinist imtihanına gittim ama o belgeyi götürmedim.
"Makinist imtihanını verdum, makinist aletini aldum kullandum da.",Ağız,"Makinist sınavını verdim, ehliyeti aldım ve kullandım."
Gene kızayrum kendime o kağıdı niye göstermedum ben.,Ağız,Hâlâ kendime kızıyorum; o kağıdı niye göstermedim.
Her duruma karşu savaş içindeyduk ama biz değilduk.,Ağız,Her duruma karşı savaş içindeydik ama biz savaşmadık.
Almanya ile Rusya idi.,Ağız,Savaşanlar Almanya ile Rusya'ydı.
İcab ederse biz de müdaafa ederduk da.,Ağız,Gerekirse biz de müdafaa ederdik.
Her akşam savaş yerine geçerduk.,Ağız,Her akşam savaş mevziine geçerdik.
Zil çalardı savaş yerine geçerduk.,Ağız,"Zil çalardı, savaş mevziine geçerdik."
Çok fena geçerdi ya rahat kalmaduk ki biz.,Ağız,Çok kötü geçerdi; rahat edemedik ki.
Biz askerluğu üç sene yaptuk.,Ağız,Biz askerliğe üç sene yaptık.
Üç sene olur mi askerluk.,Ağız,Askerlik üç sene olur mu?
İkinci Dünya Savaşı’nda asker olanlar üç sene yapdi.,Ağız,İkinci Dünya Savaşı'nda asker olanlar üç sene yaptı.
Uçağımız var idi ama çok az idi.,Ağız,Uçağımız vardı ama çok azdı.
Rus Alman uçakları burda çarpişdiler.,Ağız,Rus ve Alman uçakları burada çarpıştılar.
Askere gitmeden evvel burda çarpişiyorlardi.,Ağız,Askere gitmeden önce burada çarpışıyorlardı.
Bi danesi Çayeli’ne düşdi Alman uçağı.,Ağız,"Onlardan biri, Alman uçağı, Çayeli'ne düştü."
Bi danesi de Arhavi’ye düşdi.,Ağız,Bir tanesi de Arhavi'ye düştü.
"Zil çalar idi alarm zili, savaş yerine geçilirdi.",Ağız,"Alarm zili çalardı, savaş mevziine geçilirdi."
"Bu mahalledeki evler ışik yasakdi, hep karanlık oturilerdi.",Ağız,"Bu mahallede ışık yasaktı, hep karanlıkta otururlardı."
Mahallede ışıksız oturuyoduk.,Ağız,Mahallede ışıksız oturuyorduk.
"Elektrik nerde kaldi, lamba bile yakamiyorduk ha burda.",Ağız,Elektrik ne gezer; burada lamba bile yakamıyorduk.
"Ekmek var miydu, kitluk oldu da kitluk.",Ağız,"Ekmek var mıydı; kıtlık oldu, kıtlık."
Ekmek bulamaduğumuz zaman oluyordu ya.,Ağız,Ekmek bulamadığımız zamanlar oluyordu.
Karneye bağlandı karneye.,Ağız,Her şey karneye bağlandı.
Kabak yaprağı bile pişirilerdi.,Ağız,Kabak yaprağı bile pişirirlerdi.
Karneyle ekmek alurlardı.,Ağız,Karneyle ekmek alırlardı.
Ekmeği olmayana ben kayuğum var idi diye alurdum.,Ağız,"Ekmek bulamayana, 'kayığım var sefere gideceğim' diye ben alırdım."
Olmayanlar bana gelurlerdi.,Ağız,Olmayanlar bana gelirlerdi.
Kayıkla başladum sonra motor yaptum.,Ağız,"Kayıkla başladım, sonra motor yaptım."
Kim hasta oldu ise bana geliyırdı kapıyı vururlardı.,Ağız,"Kim hasta olursa bana gelirdi, kapıyı vururlardı."
Yatırmazlardı ki beni.,Ağız,Beni yatırmazlardı.
Hasta var hadi bakalım ben götürürdüm.,Ağız,"Hasta var denince, haydi ben götürürdüm."
Yokdu ki araba yok yol yokdi bir şey yok.,Ağız,"Araba yoktu, yol yoktu; hiçbir şey yoktu."
Ben karadan askere karadan gittum.,Ağız,Ben askere karadan gittim.
Pazara burdan ayak ile gidiyorum.,Ağız,Buradan pazara yürüyerek gidiyorum.
Pazar şubesi rıfk ediyor bizimle.,Ağız,Pazar şubesi bizimle ilgileniyordu.
O zaman nahiye değildi burasi ufakdi kasabaydı.,Ağız,"O zaman burası nahiye değildi; küçüktü, kasabaydı."
Eskiden çok iyi çok zor idi ya.,Ağız,Eskiden çok iyi ama çok zordu.
Hiç sormayın da bilmeyin.,Ağız,"Hiç sormayın, bilmeyin."
O zorluklar nelerdi ki.,Ağız,O ne zorluklardı.
Hiçbir şey yokdu ki.,Ağız,Hiçbir şey yoktu ki.
Evde para bile yok idi.,Ağız,Evde para bile yoktu.
On kuruştu ekmek da.,Ağız,Ekmek on kuruştu.
On kuruş idi ekmek.,Ağız,Ekmek on kuruştu.
Üç liralık ekmek ile doyar idin.,Ağız,Üç liralık ekmekle doyardın.
Liman yokdi bir şey yok.,Ağız,"Liman yoktu, hiçbir şey yoktu."
Bu evlendi gitti.,Ağız,"Bu evlendi, gitti."
On gün kaldı hava sebebiyle gelemedi buraya.,Ağız,"On gün kaldı, hava yüzünden buraya gelemedi."
Ben armut yükleteydum yasak idi.,Ağız,"Ben armut yükletiyordum, yasaktı."
Rus ile Alman harbi var idi.,Ağız,Ruslarla Almanların savaşı vardı.
Dereyi geçdum ha o büyük dere varya geçdum.,Ağız,"O büyük dereden geçtim, hani şu büyük dere."
Akşam namazi olmuşdu karanlıkta gördiler bizi.,Ağız,Akşam namazı olmuştu; karanlıkta bizi gördüler.
Bizim asker var idi orada.,Ağız,Orada bizim asker vardı.
Eski sebzeliğin dibinde bir tümen asker var idi.,Ağız,Eski sebzeliğin dibinde bir tümen asker vardı.
Rusların casus çıkayur demişler buraya.,Ağız,Buraya 'Rusların casusu çıkıyor' demişler.
Onları beklemek içun.,Ağız,Onları beklemek için.
Rus motoru diye ateş ettuler bize.,Ağız,Bize 'Rus motoru' diye ateş ettiler.
Denize atladuk öyle kurtarduk.,Ağız,"Denize atladık, öyle kurtulduk."
Karanlık çökdü sisin içinde kayıkla kaçtuk.,Ağız,Karanlık çöktü; sisin içinde kayıkla kaçtık.
Trabzon’a gittum ki Ardeşen’de Rus motorunu batirdular dediler bana.,Ağız,Trabzon’a gittim; 'Ardeşen’de Rus motorunu batırdılar' dediler.
O zaman tel verdum telefon yokdi.,Ağız,O zaman telgraf çektim; telefon yoktu.
Tel verdum ki sıhhatteyiz merak etmeyin diye.,Ağız,"Telgraf çektim: 'Sağlıklıyız, merak etmeyin' diye."
Hiçbir şey sromadılar da.,Ağız,Hiçbir şey sormadılar da.
Ama yasak idi kabahatimiz var bizim yani.,Ağız,Ama yasaktı; yani kabahatimiz vardı.
Görünecek zamanda geçmeyecektuk.,Ağız,Görünür zamanda geçmeyecektik.
Öyle yapabilduk işte bizde.,Ağız,İşte öyle yapabildik.
Balikçiluk baluk gıyamet gibi baluk var idi.,Ağız,"Balık çoktu; balıkçılık yapıyorduk, balık kıyamet gibiydi."
Balıkçuluk askerden evvel başladım.,Ağız,Balıkçılığa askerden önce başladım.
Askerden sonra balıkçuluk yapmadım.,Ağız,Askerden sonra balıkçılık yapmadım.
Askerden sonra hamsi tutayrdum hamsi.,Ağız,Askerden sonra hamsi tutardım.
Ağ sereyordunuz denize sabah galdırıyodunuz.,Ağız,"Ağı denize seriyordunuz, sabah kaldırıyordunuz."
Ağı koyayurduk akşamdan sabah kaldırurduk dökülüyordu balık.,Ağız,"Ağı akşamdan koyardık, sabah kaldırırdık; balık dökülürdü."
